keyword,keyword sv,Keywords (in the same cluster),Avg Search Volume,Total_Search_Volume,relevance_score,Chewy_URL,product_count,CTR
filter media,2400,"filter media, canister filter media, mechanical filter media, filter media for canister filter, external filter media, filter media water, no filter media","2400.0, 140.0, 70.0, 20.0, 10.0, 10.0, 10.0",2660,5.82431403,https://www.chewy.com/b/filter-media-927,445,0.005405405
horse bell boots,2400,"horse bell boots, xxl horse bell boots, xxl horse boots","2400.0, 10.0, 10.0",2420,3.027077835,,7,
aquariums by size,1900,aquariums by size,1900,1900,3.510093437,,22,
cat games birds,1900,"cat games birds, cat games with birds","1900.0, 30.0",1930,1.973539441,,7,
cat games free,1900,"cat games free, free kitten games, kitten games for free, kitten games free, kitty cat games free, free kitten games to play, virtual cat games free","1900.0, 70.0, 70.0, 70.0, 40.0, 10.0, 10.0",2170,6.35185536,,510,
chicken coops winter,1900,chicken coops winter,1900,1900,3.001866224,,12,
dog coats patterns,1900,"dog coats patterns, patterns for dog coats, dog coats patterns free, free patterns for dog coats, dog coats knitting patterns, free knitting patterns for dog coats, knitted dog coats patterns free, free knitting pattern for dog coats for small dogs","1900.0, 1900.0, 720.0, 720.0, 140.0, 110.0, 110.0, 10.0",5610,6.591209229,,30,
dog supplies hunting,1900,"dog supplies hunting, hunter dog supplies, hunting dog supplies","1900.0, 1900.0, 1900.0",5700,5.479307102,,118,
mealworms chickens,1900,mealworms chickens,1900,1900,9.047981748,https://www.chewy.com/happy-hen-treats-mealworm-frenzy/dp/122432,74,0
riding breeches,1900,"riding breeches, riding breeches women's, women's riding breeches, ladies riding breeches, navy riding breeches","1900.0, 320.0, 320.0, 20.0, 10.0",2570,6.366357884,https://www.chewy.com/tuffrider-ladies-ribb-lowrise-pull/dp/252446?utm_source=google-product&amp;utm_medium=organic&amp;utm_campaign=%7Bcampaignid%7D&amp;utm_content=TuffRider&amp;utm_term=%7Bkeyword%7D,43,0.2
snake lamp,1900,snake lamp,1900,1900,7.698228195,,58,
cat games laser,1600,"cat games laser, laser cat games, cat laser ball","1600.0, 1600.0, 20.0",3220,3.058157995,https://www.chewy.com/ethical-pet-led-motion-activated-ball/dp/180987,15,
cat gifts for mom,1600,"cat gifts for mom, cat mom gifts, gifts for cat mom, cat lady gifts, cat person gifts, cat parent gifts, gifts for a cat mom, black cat mom gifts, ladies cat gifts","1600.0, 1600.0, 1600.0, 590.0, 210.0, 70.0, 40.0, 10.0, 10.0",5730,7.039993284,https://www.chewy.com/b/cat-moms-13846,112,
cat tree leaves,1600,cat tree leaves,1600,1600,2.339364848,https://www.chewy.com/go-pet-club-67-in-forest-leaves-cat/dp/243675,6,0.007633588
chicken feed layer,1600,"chicken feed layer, chicken feed block, chicken seed block, chicken feed egg layer","1600.0, 90.0, 40.0, 20.0",1750,7.804603531,https://www.chewy.com/kalmbach-feeds-all-natural-hi-omegga/dp/244673,81,0
dog treats no bake,1600,"dog treats no bake, no bake dog treats, no bake peanut butter dog treats, no bake peanut butter treats for dogs, peanut butter dog treats no bake, no peanut butter dog treats, no bake dog cookies, peanut butter oatmeal dog treats - no bake, no cook dog treats, no-bake carrot dog treats, oatmeal peanut butter dog treats no bake, no bake sweet potato dog treats, oat flour peanut butter dog treats, sweet potato dog treats oven","1600.0, 1600.0, 480.0, 480.0, 480.0, 50.0, 40.0, 40.0, 30.0, 20.0, 20.0, 10.0, 10.0, 10.0",4870,9.11356632,,358,
dog water bottle crate,1600,"dog water bottle crate, dog water bottle kennel, puppy crate water","1600.0, 390.0, 50.0",2040,5.675374074,,34,
exotic aquariums,1600,"exotic aquariums, exotic aquariums and pets","1600.0, 70.0",1670,2.23419779,,11,
gifts for cat dad,1600,"gifts for cat dad, personalized cat dad gifts, cat dad personalized gifts, gifts for a cat dad","1600.0, 40.0, 20.0, 20.0",1680,6.18849441,,237,
horse leads,1600,"horse leads, horse leads for dogs, leather horse leads, horse lunge leads","1600.0, 50.0, 50.0, 10.0",1710,6.128296635,https://www.chewy.com/horze-equestrian-cooper-halter-horse/dp/292719,119,0.014285714
horse martingales,1600,"horse martingales, martingales horses, horse tack martingale, martingale horse tack, horse martingale collar, martingale collar horse, horse running martingale, martingale horse western, martingale horse english, horse with martingale","1600.0, 1600.0, 170.0, 170.0, 110.0, 110.0, 90.0, 50.0, 30.0, 10.0",3940,4.910061431,https://www.chewy.com/shires-equestrian-products-rossano/dp/270621,48,0
horse tack western,1600,"horse tack western, western saddles and tack","1600.0, 70.0",1670,5.59306057,https://www.chewy.com/tahoe-tack-western-patriotic-american/dp/271556,279,0
pond filter koi,1600,"pond filter koi, pond filters for koi, filter media for koi pond, koi pond filter media, koi carp pond filters, pond filters for koi carp","1600.0, 1600.0, 140.0, 140.0, 10.0, 10.0",3500,7.972969228,https://www.chewy.com/sunsun-pressurized-pond-filter/dp/158816,112,
pumpkin dog food anal glands,1600,pumpkin dog food anal glands,1600,1600,3.51587061,https://www.chewy.com/naturvet-no-scoot-plus-pumpkin-soft/dp/48772,8,0.103448276
riding boots western,1600,"riding boots western, western riding boots, horse boots western","1600.0, 1600.0, 20.0",3220,4.864089037,,20,
toys for chicken coops,1600,toys for chicken coops,1600,1600,2.402903164,,6,
bird feeders for winter,1300,"bird feeders for winter, winter bird feeders, hummingbird feeders for winter, hummingbird feeders season","1300.0, 1300.0, 480.0, 70.0",3150,6.494703804,,105,
cat bag grooming,1300,cat bag grooming,1300,1300,7.824960021,https://www.chewy.com/top-performance-cat-grooming-bag/dp/151902,46,0
cat coat patterns,1300,"cat coat patterns, cat coats colors, cat coat colors and patterns, unique cat coats, beautiful cat coats, all cat coats","1300.0, 1000.0, 110.0, 90.0, 30.0, 10.0",2540,5.67140603,,21,
chicken coops big,1300,chicken coops big,1300,1300,3.345634428,,12,
cool dog toys,1300,cool dog toys,1300,1300,2.278264648,https://www.chewy.com/b/interactive-toys-319,11,0.02484472
dog brushes for long hair,1300,dog brushes for long hair,1300,1300,4.507521362,https://www.chewy.com/hartz-groomers-best-slicker-dog-brush/dp/159716,12,0.222222222
dog diapers poop,1300,dog diapers poop,1300,1300,8.689263339,https://www.chewy.com/app/product-question/1225269,213,0.571428571
dog food one,1300,"dog food one, cat food one","1300.0, 480.0",1780,9.137093395,https://www.chewy.com/purina-one-smartblend-vibrant/dp/29838,2690,0.006849315
easy aquariums,1300,easy aquariums,1300,1300,2.118643126,,7,
fish food pantry,1300,fish food pantry,1300,1300,6.850140597,,400,
horse saddles western,1300,"horse saddles western, western saddle horse, synthetic western saddles, english and western saddles, western and english saddles, leather western saddles, english saddle leather, western saddle leather","1300.0, 590.0, 480.0, 320.0, 320.0, 170.0, 70.0, 10.0",3260,8.165606382,,47,
igloo beds for dogs,1300,"igloo beds for dogs, igloo dog beds for small dogs","1300.0, 10.0",1310,2.43799791,https://www.chewy.com/frisco-igloo-covered-cat-dog-bed/dp/178414,5,0
j&j dog supplies,1300,j&j dog supplies,1300,1300,2.78579538,,10,
litter box ferret,1300,"litter box ferret, corner litter box ferret, ferret cage litter boxes","1300.0, 20.0, 10.0",1330,8.17028466,https://www.chewy.com/ware-lock-n-litter-small-animal/dp/128630,43,0
plants for betta fish tanks,1300,"plants for betta fish tanks, betta fish tank algae","1300.0, 30.0",1330,4.669499918,,18,
pond pumps submersible,1300,"pond pumps submersible, aquarium pumps submersible","1300.0, 590.0",1890,3.77320992,,10,
riding gloves horse,1300,riding gloves horse,1300,1300,4.773634899,https://www.chewy.com/horze-crochet-horse-riding-gloves/dp/305038,16,0
studded dog collars,1300,studded dog collars,1300,1300,3.222903018,https://www.chewy.com/omnipet-spiked-studded-latigo-leather/dp/161576,7,0.038461538
us aquariums,1300,us aquariums,1300,1300,4.578590571,,26,
winter riding boots,1300,winter riding boots,1300,1300,5.027003477,,17,
xxs dog clothing,1300,xxs dog clothing,1300,1300,7.348815191,,1455,
300 gallon aquariums,1000,300 gallon aquariums,1000,1000,1.645662009,,5,
aquarium gravel cleaning,1000,"aquarium gravel cleaning, cleaning aquarium gravel","1000.0, 1000.0",2000,5.323710353,https://www.chewy.com/aqueon-siphon-vacuum-aquarium-gravel/dp/128928,17,
away pet carrier,1000,away pet carrier,1000,1000,3.03071286,https://www.chewy.com/kh-pet-products-comfy-go-backpack-pet/dp/106279,9,0
chicken feeders hanging,1000,chicken feeders hanging,1000,1000,3.082778659,,7,
dog bones butcher,1000,dog bones butcher,1000,1000,3.283169811,,10,
dog food green bag,1000,"dog food green bag, dog food yellow bag, puppy food yellow bag, dog treats yellow bag","1000.0, 390.0, 50.0, 40.0",1480,5.726846039,https://www.chewy.com/addiction-grain-free-mega-large-breed/dp/151035,21,0
dog leash short,1000,dog leash short,1000,1000,8.184418822,https://www.chewy.com/leashboss-padded-handle-short-dog/dp/163713,111,0
dog paw covers,1000,dog paw covers,1000,1000,6.845980099,https://www.chewy.com/ultra-paws-wound-dog-boot/dp/56659,34,0.2
lizard lights,1000,"lizard lights, lizard light bulbs, lizard night light, led lizard lights, lizard led lights, lizard light fixture, lizard red light, lizard lights led, lizard night light bulb, lizard uvb lights","1000.0, 140.0, 40.0, 30.0, 30.0, 20.0, 20.0, 10.0, 10.0, 10.0",1310,6.905649311,https://www.chewy.com/zoo-med-repti-basking-reptile-spot/dp/126600,202,0.024390244
nature cat games,1000,nature cat games,1000,1000,6.113733536,,31,
pond pumps small,1000,"pond pumps small, aquarium pump small, small air pump aquarium, aquarium pump mini, saltwater aquarium pump size","1000.0, 390.0, 170.0, 10.0, 10.0",1580,6.205940259,,22,
pond pumps waterfall,1000,pond pumps waterfall,1000,1000,3.592700775,,10,
riding chaps,1000,"riding chaps, western riding chaps, english riding chaps, riding chaps western, chaps riding gear","1000.0, 210.0, 110.0, 110.0, 10.0",1440,4.899806187,https://www.chewy.com/huntley-equestrian-custom-fit-premium/dp/349529,83,0
sand hermit crabs,1000,sand hermit crabs,1000,1000,3.833584979,https://www.chewy.com/flukers-hermit-beach-sand-substrate/dp/129156,14,0
virtual aquariums,1000,virtual aquariums,1000,1000,4.616894134,,53,
apple dog tags,880,apple dog tags,880,880,2.071278386,,5,
artificial pet grass,880,"artificial pet grass, pet grass artificial, pet grass cats, pet grass plant","880.0, 880.0, 210.0, 20.0",1990,5.545214536,https://www.chewy.com/cat-ladies-organic-pet-grass-grow-kit/dp/157846,34,
cat bed donut,880,cat bed donut,880,880,4.418874855,https://www.chewy.com/petami-donut-cat-dog-bed/dp/352855,12,0
cat food vomiting,880,cat food vomiting,880,880,2.606917031,,10,
cat party supplies,880,cat party supplies,880,880,6.360377169,https://www.chewy.com/b/cat-birthday-12441,27,0
cat scratching post modern,880,cat scratching post modern,880,880,8.500163243,https://www.chewy.com/catry-32-in-modern-sisal-cat/dp/271202,195,0.166666667
dog balls are red,880,"dog balls are red, dog balls red, puppy balls red","880.0, 880.0, 30.0",1790,7.705483055,https://www.chewy.com/nerf-dog-squeaker-trackshot-ball-dog/dp/231910,78,0
dog coats colors,880,dog coats colors,880,880,8.203078048,,129,
dog food nutrition,880,dog food nutrition,880,880,7.650399925,https://www.chewy.com/pedigree-adult-complete-nutrition/dp/141435,713,0
dog groomer gifts,880,"dog groomer gifts, dog grooming gifts","880.0, 880.0",1760,2.880473501,,9,
dog hair remover clothes,880,dog hair remover clothes,880,880,2.224595194,,5,
dog leash body,880,dog leash body,880,880,2.055608396,,6,
dog peep toy,880,"dog peep toy, peep dog toys","880.0, 880.0",1760,2.370785221,,8,
dog walking gifts,880,"dog walking gifts, dog walking gifts for dad, guide dog gifts","880.0, 10.0, 10.0",900,6.796039721,,271,
horse bits western,880,horse bits western,880,880,2.156978666,,7,
horse tack sets,880,"horse tack sets, horse tack hardware","880.0, 90.0",970,3.138704425,,13,
koi pond pumps,880,"koi pond pumps, pond pump koi","880.0, 10.0",890,8.148272845,,100,
litter box baking soda,880,"litter box baking soda, cat litter deodorizer baking soda","880.0, 30.0",910,3.975525552,https://www.chewy.com/arm-hammer-litter-cat-litter/dp/51956,14,0
rock lizard,880,"rock lizard, lizard rocks","880.0, 390.0",1270,4.90199778,,24,
saddle accessories,880,"saddle accessories, western saddle accessories, horse saddle accessories, saddle bag accessories, english saddle accessories, horse saddle and accessories, leather saddle accessories, saddles and accessories, western horse saddle accessories","880.0, 210.0, 140.0, 70.0, 30.0, 20.0, 20.0, 10.0, 10.0",1390,6.739293758,,45,
small terrarium plant,880,"small terrarium plant, terrarium plants small, terrarium plants large","880.0, 880.0, 10.0",1770,2.909092148,,8,
tall riding boots womens,880,"tall riding boots womens, riding boots ladies, ladies tall riding boots","880.0, 390.0, 30.0",1300,2.916197587,,7,
use catnip,880,"use catnip, catnip care, catnip catnip, just catnip","880.0, 170.0, 110.0, 10.0",1170,6.604710759,https://www.chewy.com/hartz-just-cats-gone-fishin-cat-wand/dp/110670,150,
western saddle blankets,880,western saddle blankets,880,880,4.775344224,,15,
44 cat toys,720,"44 cat toys, cats 44 toys","720.0, 10.0",730,2.912620544,,14,
bird food for cardinals,720,bird food for cardinals,720,720,8.708810815,https://www.chewy.com/audubon-park-cardinal-blend-wild-bird/dp/147781,103,0
brushes for goats,720,"brushes for goats, goat brushes, brush goat","720.0, 720.0, 390.0",1830,2.282248484,,5,
cat blanket throw,720,"cat blanket throw, dog blanket throw, cat blankets and throws, fall cat blanket","720.0, 590.0, 110.0, 20.0",1440,7.431764497,https://www.chewy.com/best-friends-by-sheri-throw-shag-dog/dp/219940,43,0
catnip wine,720,catnip wine,720,720,1.918702994,https://www.chewy.com/pet-winery-wine-purrgundy-cat/dp/323289,5,0.153846154
chicken feed bucket,720,chicken feed bucket,720,720,4.487317015,,22,
cleaning bird feeders,720,"cleaning bird feeders, remove bird feeders","720.0, 30.0",750,5.310740038,,27,
dog treats duck,720,"dog treats duck, duck treats for ducks, duck treats dog","720.0, 50.0, 10.0",780,8.478242932,https://www.chewy.com/plato-original-real-strips-duck/dp/42049,464,0.0625
free bird food,720,"free bird food, free wild bird food","720.0, 10.0",730,8.572510361,https://www.chewy.com/wagners-shell-free-premium-wild-bird/dp/124704,112,0
free chicken coops,720,free chicken coops,720,720,3.370420439,,14,
free patterns for dog bandanas,720,free patterns for dog bandanas,720,720,3.564065676,,9,
goat hay,720,"goat hay, goat hay bag, goat feed bag, hay goats","720.0, 210.0, 30.0, 20.0",980,2.914872927,https://www.chewy.com/kalmbach-feeds-16-grain-goat-feed-50/dp/244699,7,
horse bits snaffle,720,"horse bits snaffle, snaffle horse bits","720.0, 720.0",1440,8.173784841,https://www.chewy.com/horze-equestrian-loose-ring-snaffle/dp/330540,45,
horse toys for stall,720,horse toys for stall,720,720,4.281190683,,14,
insulated dog kennels,720,"insulated dog kennels, insulated cat kennels","720.0, 10.0",730,4.201982456,,21,
knitted dog hats,720,knitted dog hats,720,720,4.70783766,https://www.chewy.com/frisco-cable-knit-dog-cat-knitted-hat/dp/250951,13,0.285714286
reptile substrate,720,"reptile substrate, substrate reptile, bioactive reptile substrate","720.0, 720.0, 40.0",1480,6.513210592,https://www.chewy.com/exo-terra-coco-husk-tropical/dp/124054,177,0.025974026
above ground dog kennels,590,"above ground dog kennels, dog kennels off the ground","590.0, 590.0",1180,2.152656809,,7,
bernese mountain dog gifts,590,bernese mountain dog gifts,590,590,1.75190382,,6,
black cat games,590,"black cat games, blue cat games, white cat games","590.0, 320.0, 110.0",1020,6.572678564,,622,
black cat outfits,590,black cat outfits,590,590,6.248862108,,26,
cages for degu,590,"cages for degu, degu travel cage","590.0, 10.0",600,5.397893864,,59,
calming music for dogs with anxiety,590,calming music for dogs with anxiety,590,590,3.267591012,,9,
cat food blue bag,590,"cat food blue bag, cat food green bag, cat food yellow bag, dry cat food yellow bag","590.0, 320.0, 90.0, 20.0",1020,7.876579665,https://www.chewy.com/blue-buffalo-true-solutions-fab/dp/291003,325,0.003159558
cat shirt pocket,590,cat shirt pocket,590,590,3.936929842,,14,
cat shirt tie dye,590,cat shirt tie dye,590,590,4.213331875,,13,
cat toys hunting,590,cat toys hunting,590,590,3.96895018,,14,
catnip joints,590,catnip joints,590,590,1.517423033,https://www.chewy.com/meowijuana-catnibas-meowy-js-king/dp/152746,5,0.017953321
cattle show supplies,590,"cattle show supplies, show cattle feed","590.0, 390.0",980,3.333449802,https://www.chewy.com/show-string-show-feed-champions/dp/261753,14,
dog jewelry memorial,590,"dog jewelry memorial, memorial dog jewelry","590.0, 590.0",1180,4.06875472,,13,
dog leash designer,590,dog leash designer,590,590,8.697209808,,100,
dog muzzles chewing,590,"dog muzzles chewing, dog muzzles for chewing","590.0, 590.0",1180,2.008904022,,6,
