Cluster,keyword,Keywords (in the same cluster),Avg Search Volume,Total_Search_Volume,Highest Volume Search Terms,Highest_Search_Volume,relevance_score,Chewy_URL,product_count,CTR
669,rabbit food natural,rabbit food natural,170.0,170.0,rabbit food natural,170.0,8.8997,https://www.chewy.com/kaytee-fiesta-natural-rabbit-food-65/dp/288408,172.0,0.0
666,catnip treats for dogs,"catnip dogs, catnip for dogs, toys with catnip, catnip treats for dogs","9900.0, 9900.0, 2400.0, 40.0",22240.0,catnip dogs,9900.0,7.97395,https://www.chewy.com/skinny-petes-gourmet-catnip-dog-ezz/dp/285520,390.0,0.0
109,wild bird food holders,"bird food holder, wild bird food holders","90.0, 10.0",100.0,bird food holder,90.0,8.50355,,68.0,0.0
1049,ocean fish pate cat food,ocean fish pate cat food,10.0,10.0,ocean fish pate cat food,10.0,8.8662,https://www.chewy.com/authority-ocean-fish-rice-entree/dp/177615,59.0,0.0
29,dry dog food small bites,dry dog food small bites,110.0,110.0,dry dog food small bites,110.0,8.8611,https://www.chewy.com/f/extra-small-toy-breeds-dry-dog-food_c294_f6v13789,118.0,0.321428571
585,3 ingredient dog treats no peanut butter,"3 ingredient dog treats no peanut butter, 3 ingredient dog treats no oats, carrot dog treats no peanut butter, oat and apple dog treats, peanut butter dog treats 3 ingredients","140.0, 40.0, 20.0, 10.0, 10.0",220.0,3 ingredient dog treats no peanut butter,140.0,5.24498,,7.0,0.0
1292,puppy litter supplies,"dog litter, dog litter puppies, puppy litter supplies","5400.0, 170.0, 20.0",5590.0,dog litter,5400.0,8.164533333333333,https://www.chewy.com/secondnature-dog-litter/dp/120530,219.0,0.005854178
1208,horse blankets for winter,horse blankets for winter,2900.0,2900.0,horse blankets for winter,2900.0,8.8246,,51.0,0.0
864,cat h2o dental care,cat h2o dental care,10.0,10.0,cat h2o dental care,10.0,8.8138,,80.0,0.0
402,organic catnip for cats,"catnip herbs, catnip ingredients, natural catnip, organic catnip herb, organic catnip for cats, natural catnip for cats, catnip natural","590.0, 260.0, 110.0, 20.0, 10.0, 10.0, 10.0",1010.0,catnip herbs,590.0,7.0001999999999995,https://www.chewy.com/smartykat-catnip/dp/130299,80.0,0.0
62,dog collars for black dogs,dog collars for black dogs,30.0,30.0,dog collars for black dogs,30.0,8.807,,1293.0,0.0
734,cat scratchers and beds,cat scratchers and beds,70.0,70.0,cat scratchers and beds,70.0,8.8043,,615.0,0.0
853,dogs and vacuum cleaners,"dogs and vacuum cleaners, dog poop vacuum cleaner, dog pee vacuum cleaner","110.0, 30.0, 20.0",160.0,dogs and vacuum cleaners,110.0,8.705566666666668,,77.0,0.0
398,dog cookie mix,dog cookie mix,40.0,40.0,dog cookie mix,40.0,8.7923,https://www.chewy.com/lazy-dog-cookie-co-bake-at-home/dp/160343,443.0,0.0
315,pumpkin dog treats with oats,pumpkin dog treats with oats,20.0,20.0,pumpkin dog treats with oats,20.0,8.7867,,106.0,0.0
226,bird food for cardinals,bird food for cardinals,720.0,720.0,bird food for cardinals,720.0,8.7791,https://www.chewy.com/audubon-park-cardinal-blend-wild-bird/dp/147781,102.0,0.0
341,rabbit food vegetables,"rabbit food vegetables, rabbit food carrot, rabbit food plant","70.0, 10.0, 10.0",90.0,rabbit food vegetables,70.0,8.2335,,36.0,0.0
1257,dog poop bags black,"dog poop bags black, dog poop bags pink","10.0, 10.0",20.0,dog poop bags black,10.0,7.33355,,55.0,0.0
622,dog leash supplies,dog leash supplies,20.0,20.0,dog leash supplies,20.0,8.7549,,3014.0,0.0
1280,duck treats for ducks,"dog treats duck, duck treats for ducks, duck treats dog","720.0, 50.0, 10.0",780.0,dog treats duck,720.0,8.507766666666667,https://www.chewy.com/plato-original-real-strips-duck/dp/42049,267.0,0.0625
1082,reptile insect food,reptile insect food,10.0,10.0,reptile insect food,10.0,8.7503,,38.0,0.0
638,red parrot food,red parrot food,10.0,10.0,red parrot food,10.0,8.7447,,77.0,0.0
523,cat food lickables,cat food lickables,260.0,260.0,cat food lickables,260.0,8.7153,https://www.chewy.com/hartz-delectables-senior-bisque/dp/293761,271.0,0.24137931
152,dog leash designer,dog leash designer,590.0,590.0,dog leash designer,590.0,8.703,,96.0,0.0
597,chicken littles dog treats,chicken littles dog treats,40.0,40.0,chicken littles dog treats,40.0,8.684,https://www.chewy.com/bil-jac-little-jacs-small-dog-chicken/dp/168860,2569.0,0.3
965,large pork bones for dogs,"dog and pork bones, large pork bones for dogs","170.0, 10.0",180.0,dog and pork bones,170.0,8.358,,270.0,0.0
626,this and that dog treats,this and that dog treats,20.0,20.0,this and that dog treats,20.0,8.6546,,7463.0,0.0
756,hay for pets,hay for pets,70.0,70.0,hay for pets,70.0,8.6528,https://www.chewy.com/viking-farmer-1st-cut-timothy-hay/dp/352205,345.0,0.0
637,natural horse treats,natural horse treats,30.0,30.0,natural horse treats,30.0,8.6294,https://www.chewy.com/b/horse-treats-2745,143.0,0.176470588
766,mealworms for turtles,"mealworms for turtles, turtle food mealworms, turtle food worms","90.0, 10.0, 10.0",110.0,mealworms for turtles,90.0,6.764766666666667,,35.0,0.0
365,kittles cat treats,"kittles cat treats, kit cat treats","140.0, 10.0",150.0,kittles cat treats,140.0,6.08015,https://www.chewy.com/wellness-kittles-grain-free-turkey/dp/134317,8.0,0.28
1016,up dog toys,up dog toys,70.0,70.0,up dog toys,70.0,8.5981,,69.0,0.0
1313,feeding chickens wild bird seed,"chicken seeds, chicken pumpkin seeds, chicken grass seed, chicken seed mix, wild bird seed for chickens, wild bird food for chickens, no wheat wild bird food, wild bird seed no corn, wild bird seed no wheat, chicken grass seed mix, wild bird seed plants, feeding chickens wild bird seed","320.0, 140.0, 110.0, 50.0, 20.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0",710.0,chicken seeds,320.0,6.410900000000002,https://www.chewy.com/healthy-harvest-whole-hearty-layer/dp/226649,729.0,0.0
101,dog food kitchen,dog food kitchen,140.0,140.0,dog food kitchen,140.0,8.59,https://www.chewy.com/honest-kitchen-grain-free-beef-whole/dp/177091,116.0,0.0
195,sweet potato and duck treats,sweet potato and duck treats,10.0,10.0,sweet potato and duck treats,10.0,8.5897,,53.0,0.0
252,carob treats for dogs,"carob treats for dogs, carob for dog treats, carob dog treat, carob chip dog treats","480.0, 480.0, 480.0, 20.0",1460.0,carob treats for dogs,480.0,6.977474999999999,https://www.chewy.com/exclusively-dog-peanut-butter-carob/dp/256123,65.0,0.0
139,wild bird food millet,"bird food millet, wild bird food millet, wild bird seed millet","140.0, 10.0, 10.0",160.0,bird food millet,140.0,8.231866666666667,https://www.chewy.com/higgins-spray-millet-bird-treats/dp/267920,284.0,0.0
977,dog urinary support chews,dog urinary support chews,10.0,10.0,dog urinary support chews,10.0,8.5664,,77.0,0.0
788,molasses dog cookies,molasses dog cookies,10.0,10.0,molasses dog cookies,10.0,8.5633,https://www.chewy.com/blue-dog-bakery-soft-paws-peanut/dp/127102,229.0,0.0
1112,cockatiel and parakeet food,cockatiel and parakeet food,10.0,10.0,cockatiel and parakeet food,10.0,8.5596,,46.0,0.0
122,cat treats human food,cat treats human food,40.0,40.0,cat treats human food,40.0,8.5519,,54.0,0.0
211,bird seed treats,bird seed treats,50.0,50.0,bird seed treats,50.0,8.5503,,143.0,0.0
439,vitality dog food,vitality dog food,210.0,210.0,vitality dog food,210.0,8.5471,https://www.chewy.com/alpha-paw-natural-vitality-formula/dp/346233,35.0,0.0
829,rabbit food for guinea pigs,rabbit food for guinea pigs,20.0,20.0,rabbit food for guinea pigs,20.0,8.5408,,141.0,0.0
800,dog leash short,dog leash short,1000.0,1000.0,dog leash short,1000.0,8.5351,https://www.chewy.com/leashboss-padded-handle-short-dog/dp/163713,121.0,0.0
1052,no bake dog cookies,no bake dog cookies,40.0,40.0,no bake dog cookies,40.0,8.5291,,193.0,0.0
1228,cat and balls,"cat and balls, cat 2 balls, cat 3 balls","170.0, 10.0, 10.0",190.0,cat and balls,170.0,7.469733333333333,,396.0,0.0
552,minnie mouse accessories for adults,"minnie mouse toys, minnie mouse accessories, minnie mouse treats, new minnie mouse toys, minnie mouse new toys, minnie mouse accessories for adults, small minnie mouse toys, minnie mouse dog accessories, little minnie mouse toys, minnie mouse accessories adults","74000.0, 590.0, 480.0, 110.0, 110.0, 110.0, 70.0, 40.0, 20.0, 20.0",75550.0,minnie mouse toys,74000.0,4.2252600000000005,https://www.chewy.com/disney-minnie-mouse-plush-rope/dp/247354,41.0,0.009641873
567,gluten free dog treats with pumpkin,"gluten free dog treats with pumpkin, pumpkin dog treats gluten free","30.0, 30.0",60.0,gluten free dog treats with pumpkin,30.0,8.3926,,53.0,0.0
306,apples and peanut butter for dogs,apples and peanut butter for dogs,20.0,20.0,apples and peanut butter for dogs,20.0,8.5201,,56.0,0.0
1117,cat scratching post modern,cat scratching post modern,880.0,880.0,cat scratching post modern,880.0,8.5107,https://www.chewy.com/catry-32-in-modern-sisal-cat/dp/271202,181.0,0.166666667
851,and pumpkin dog food,and pumpkin dog food,10.0,10.0,and pumpkin dog food,10.0,8.4977,,727.0,0.0
576,dog bathing and grooming,"dog bathing and grooming, dog shower grooming","260.0, 10.0",270.0,dog bathing and grooming,260.0,8.20635,,338.0,0.0
1278,chicken hide dog treats,"chicken hide dog treats, beef hide dog treats","20.0, 10.0",30.0,chicken hide dog treats,20.0,8.3091,https://www.chewy.com/pet-n-shape-all-natural-chicken-hide/dp/133475,121.0,0.052631579
220,pond pump maintenance,"pond pump cleaning, pond pump maintenance","110.0, 20.0",130.0,pond pump cleaning,110.0,8.17275,,130.0,0.0
856,pumpkin dog treats with coconut oil,pumpkin dog treats with coconut oil,10.0,10.0,pumpkin dog treats with coconut oil,10.0,8.4866,,50.0,0.0
1081,krill fish food,krill fish food,170.0,170.0,krill fish food,170.0,8.4858,https://www.chewy.com/amzey-jumbo-krill-fish-food/dp/262108,127.0,0.0
1239,no-bake carrot dog treats,no-bake carrot dog treats,20.0,20.0,no-bake carrot dog treats,20.0,8.4818,,55.0,0.0
1318,western and english saddles,"horse saddles western, western saddle horse, synthetic western saddles, western and english saddles, english and western saddles, leather western saddles, english saddle leather, western saddle leather","1300.0, 590.0, 480.0, 320.0, 320.0, 170.0, 70.0, 10.0",3260.0,horse saddles western,1300.0,6.6704,,54.0,0.0
80,grain-free dog food with taurine,grain-free dog food with taurine,140.0,140.0,grain-free dog food with taurine,140.0,8.4763,,587.0,0.0
298,dog food 10 fat,dog food 10 fat,10.0,10.0,dog food 10 fat,10.0,8.4732,,110.0,0.0
1170,pet grass plant,"pet grass cats, pet grass plant","210.0, 20.0",230.0,pet grass cats,210.0,7.53655,https://www.chewy.com/cat-ladies-organic-pet-grass-grow-kit/dp/157846,266.0,0.0
408,yellow parrot fish food,"yellow parrot food, yellow parrot fish food","10.0, 10.0",20.0,yellow parrot food,10.0,5.4380500000000005,,46.0,0.0
351,nut birds,nut birds,260.0,260.0,nut birds,260.0,8.4649,,89.0,0.0
4,dog food nutrition,dog food nutrition,880.0,880.0,dog food nutrition,880.0,8.4598,https://www.chewy.com/pedigree-adult-complete-nutrition/dp/141435,602.0,0.0
983,horse joint supplements glucosamine chondroitin,horse joint supplements glucosamine chondroitin,10.0,10.0,horse joint supplements glucosamine chondroitin,10.0,8.4566,,59.0,0.0
802,soy cat candles,soy cat candles,10.0,10.0,soy cat candles,10.0,8.4473,,44.0,0.0
63,bird toys for budgies,"bird cages budgies, bird toys for budgies, budgie bird supplies","390.0, 170.0, 10.0",570.0,bird cages budgies,390.0,6.3593,https://www.chewy.com/sungrow-bird-chew-toy-medium-large/dp/206233,188.0,0.0
1250,blue bacon dog treats,blue bacon dog treats,10.0,10.0,blue bacon dog treats,10.0,8.4405,,73.0,0.0
450,alfalfa free horse feed,"alfalfa hay horses, alfalfa horse treats, alfalfa free horse feed","390.0, 30.0, 10.0",430.0,alfalfa hay horses,390.0,6.615666666666667,https://www.chewy.com/manna-pro-nuggets-bite-size-alfalfa/dp/269349,43.0,0.0
628,rabbit hay bag,"rabbit hay bag, rabbit hay box, goat hay bag, goat feed bag","260.0, 210.0, 210.0, 30.0",710.0,rabbit hay bag,260.0,6.768325,https://www.chewy.com/bm-hay-company-no-mess-timothy-haybox/dp/187096,92.0,0.0
1301,conure parrot toys,"conure bird toys, conure parrot toys","110.0, 10.0",120.0,conure bird toys,110.0,8.363050000000001,https://www.chewy.com/b/toys-970,108.0,0.333333333
14,french english saddles,"horse saddles english, saddle covers english, english saddle riding, english saddle horse, french english saddles","590.0, 480.0, 110.0, 50.0, 10.0",1240.0,horse saddles english,590.0,5.61142,https://www.chewy.com/stubben-horse-saddle-cover-blue/dp/283924,96.0,0.0
949,dehydrated rabbit treats,dehydrated rabbit treats,20.0,20.0,dehydrated rabbit treats,20.0,8.4075,,61.0,0.0
90,dry cat food yellow bag,"cat food blue bag, cat food green bag, cat food yellow bag, dry cat food yellow bag","590.0, 320.0, 90.0, 20.0",1020.0,cat food blue bag,590.0,7.527825,https://www.chewy.com/blue-buffalo-true-solutions-fab/dp/291003,154.0,0.003159558
24,rice bran horse feed supplement,"rice bran for cattle feed, rice bran horse feed supplement, rice bran for chicken feed, rice bran for goat feed","70.0, 10.0, 10.0, 10.0",100.0,rice bran for cattle feed,70.0,5.7376499999999995,,8.0,0.0
611,cat and candles,cat and candles,260.0,260.0,cat and candles,260.0,8.3939,,250.0,0.0
1004,bearded lizard food,bearded lizard food,20.0,20.0,bearded lizard food,20.0,8.3832,https://www.chewy.com/flukers-adult-bearded-dragon-diet/dp/126084,75.0,0.0
792,liver dog treats dehydrator,liver dog treats dehydrator,10.0,10.0,liver dog treats dehydrator,10.0,8.3831,,168.0,0.0
607,bird treats for budgies,bird treats for budgies,10.0,10.0,bird treats for budgies,10.0,8.3773,,73.0,0.0
1101,chicken treats and toys,chicken treats and toys,10.0,10.0,chicken treats and toys,10.0,8.3735,,92.0,0.0
164,oatmeal horse treats,"oat horse treats, oatmeal horse treats","10.0, 10.0",20.0,oat horse treats,10.0,5.5791,,89.0,0.0
1209,90s dog toys,"90s dog toys, 80s dog toys, 100 dog toys, dog toy 90s","110.0, 30.0, 30.0, 10.0",180.0,90s dog toys,110.0,6.431275,https://www.chewy.com/ora-clens-bumble-ball-dog-toy/dp/202272,31.0,0.0
1139,bird food for blue jays,"bird food for blue jays, jay bird food","210.0, 10.0",220.0,bird food for blue jays,210.0,6.039300000000001,,10.0,0.0
804,dog brush with blade,dog brush with blade,70.0,70.0,dog brush with blade,70.0,8.3469,https://www.chewy.com/hertzko-long-blade-dog-cat-dematting/dp/150519,57.0,0.0
615,farming mealworms,"farming mealworms, raising mealworms, mealworms raising, mealworms larvae","3600.0, 1600.0, 1600.0, 590.0",7390.0,farming mealworms,3600.0,4.591725,,70.0,0.0
489,duck food for egg production,"bird egg food, duck egg food, finch egg food, parrot egg food, duck food for egg production, duck feed for egg production, egg food lovebird","260.0, 210.0, 50.0, 10.0, 10.0, 10.0, 10.0",560.0,bird egg food,260.0,6.496771428571427,https://www.chewy.com/higgins-protein-egg-bird-food/dp/166356,120.0,0.0
163,oats for chicken feed,"oats for chicken feed, chicken feed oats","90.0, 90.0",180.0,oats for chicken feed,90.0,8.28575,,496.0,0.0
1132,dog allergy hot spot treatment,"treatment hot spot dog, dog allergy hot spot treatment","14800.0, 10.0",14810.0,treatment hot spot dog,14800.0,8.156600000000001,,102.0,0.0
577,hamster and gerbil cages,hamster and gerbil cages,10.0,10.0,hamster and gerbil cages,10.0,8.2924,,79.0,0.0
79,liver bites dog treats,"liver bites dog treats, dog treats liver bites","10.0, 10.0",20.0,liver bites dog treats,10.0,8.13785,https://www.chewy.com/purebites-beef-liver-freeze-dried-raw/dp/35001,45.0,0.0
708,peanut butter rawhide bones,peanut butter rawhide bones,30.0,30.0,peanut butter rawhide bones,30.0,8.2867,https://www.chewy.com/f/peanut-butter-flavored-rawhide-dog_c1545_f4v20056,107.0,0.333333333
874,pet grass for guinea pigs,pet grass for guinea pigs,10.0,10.0,pet grass for guinea pigs,10.0,8.2826,,109.0,0.0
938,beta chicken dog food,"beta chicken dog food, beta puppy food","10.0, 10.0",20.0,beta chicken dog food,10.0,7.6442499999999995,,292.0,0.0
578,3x dog sweaters,3x dog sweaters,30.0,30.0,3x dog sweaters,30.0,8.2567,,43.0,0.0
277,gingerbread dog cookies,"gingerbread dog cookies, ginger dog cookies","210.0, 20.0",230.0,gingerbread dog cookies,210.0,5.683,,8.0,0.0
908,fish food alternatives,"alternative fish food, fish food alternatives, natural fish food","210.0, 210.0, 90.0",510.0,alternative fish food,210.0,7.345700000000001,,45.0,0.0
957,horse bits snaffle,"horse bits snaffle, snaffle horse bits","720.0, 720.0",1440.0,horse bits snaffle,720.0,8.0912,https://www.chewy.com/horze-equestrian-loose-ring-snaffle/dp/330540,43.0,0.0
1106,catnip catnip,"catnip care, catnip catnip, just catnip","170.0, 110.0, 10.0",290.0,catnip care,170.0,5.385833333333333,https://www.chewy.com/hartz-just-cats-gone-fishin-cat-wand/dp/110670,24.0,0.0
907,no no wild bird feeders,no no wild bird feeders,10.0,10.0,no no wild bird feeders,10.0,8.2147,,229.0,0.0
1098,turtle food with calcium,turtle food with calcium,10.0,10.0,turtle food with calcium,10.0,8.2071,,60.0,0.0
196,horse blanket buckles,horse blanket buckles,40.0,40.0,horse blanket buckles,40.0,8.2058,,47.0,0.0
624,peanut butter banana dog treats no oats,"peanut butter banana dog treats no oats, banana dog treats no oats","140.0, 70.0",210.0,peanut butter banana dog treats no oats,140.0,6.5314499999999995,,14.0,0.0
428,horse coat conditioner spray,"coat conditioner for horses, horse coat conditioner spray","70.0, 10.0",80.0,coat conditioner for horses,70.0,7.72355,https://www.chewy.com/absorbine-santa-fe-coat-conditioner/dp/226165,77.0,0.0
866,blink chicken cat food,"blink cat food, blink chicken cat food, blink kitten food","40.0, 10.0, 10.0",60.0,blink cat food,40.0,6.706733333333333,,111.0,0.0
392,grey cat tree with hammock,grey cat tree with hammock,20.0,20.0,grey cat tree with hammock,20.0,8.1808,https://www.chewy.com/frisco-64-in-cat-tree-hammock-condo-2/dp/240956,50.0,0.03125
818,english riding boots,english riding boots,3600.0,3600.0,english riding boots,3600.0,8.1783,,40.0,0.0
201,melamine cat bowls,melamine cat bowls,70.0,70.0,melamine cat bowls,70.0,8.1706,https://www.chewy.com/frisco-pink-cute-cats-melamine-cat/dp/242601,48.0,0.111111111
899,pond pump gph,pond pump gph,10.0,10.0,pond pump gph,10.0,8.1605,,58.0,0.0
327,cat cages and playpens,"playpen cats, cat cages and playpens","6600.0, 10.0",6610.0,playpen cats,6600.0,7.722,https://www.chewy.com/frisco-collapsible-wire-cat-cage/dp/212522,50.0,0.0
601,bird food plants,bird food plants,10.0,10.0,bird food plants,10.0,8.1537,,49.0,0.0
887,spirulina tropical fish food,spirulina tropical fish food,10.0,10.0,spirulina tropical fish food,10.0,8.1537,,77.0,0.0
1003,waterless foam shampoo for cats,"foam cat shampoo, waterless foam shampoo for cats","90.0, 10.0",100.0,foam cat shampoo,90.0,7.32865,https://www.chewy.com/furminator-fur-deshedding-rinse-free/dp/191431,64.0,0.0
925,peanut butter dog cookies no egg,peanut butter dog cookies no egg,10.0,10.0,peanut butter dog cookies no egg,10.0,8.1502,,49.0,0.0
770,cat sweater xl,cat sweater xl,10.0,10.0,cat sweater xl,10.0,8.1373,,174.0,0.0
1057,cat coat health,cat coat health,20.0,20.0,cat coat health,20.0,8.1347,,1161.0,0.0
742,parrot treat sticks,"bird treat sticks, bird food sticks, bird treat holder, parrot treat sticks","70.0, 50.0, 30.0, 10.0",160.0,bird treat sticks,70.0,5.266450000000001,https://www.chewy.com/wild-harvest-crispy-minis-honey/dp/362659,35.0,0.0
650,dog water fetch toys,dog water fetch toys,50.0,50.0,dog water fetch toys,50.0,8.1175,,201.0,0.0
661,koi pond pumps,"koi pond pumps, pond pump koi","880.0, 10.0",890.0,koi pond pumps,880.0,8.0436,,100.0,0.0
1066,shrimp food pellets,shrimp food pellets,20.0,20.0,shrimp food pellets,20.0,8.0729,https://www.chewy.com/api-floating-pellet-betta-fish-food/dp/122036,80.0,0.0
275,l-lysine immune support for cats,"lysine immune support for cats, l-lysine immune support for cats","30.0, 10.0",40.0,lysine immune support for cats,30.0,7.6461500000000004,https://www.chewy.com/naturvet-l-lysine-plus-antioxidants/dp/177148,32.0,0.0
563,dog treats that last a long time,"long lasting dog treats, dog treats long lasting, dog treats that last a long time, long lasting puppy treats","590.0, 590.0, 70.0, 10.0",1260.0,long lasting dog treats,590.0,7.033475000000001,https://www.chewy.com/true-acre-foods-hearty-bones-long/dp/188878,2132.0,0.172413793
1144,black dog clothing line,"the black dog clothing, the black dog shirts, black dog clothing line","590.0, 90.0, 70.0",750.0,the black dog clothing,590.0,6.856733333333334,,594.0,0.0
35,iron will raw cat food,"iron will raw cat food, iron will raw dog food","10.0, 10.0",20.0,iron will raw cat food,10.0,7.9513,,57.0,0.0
768,rabbit hay timothy,"timothy horse hay, rabbit hay timothy","480.0, 10.0",490.0,timothy horse hay,480.0,5.758749999999999,,13.0,0.0
693,the black cat kitchen,"black cat kitchen, the cat kitchen, cat and kitchen, the black cat kitchen","90.0, 10.0, 10.0, 10.0",120.0,black cat kitchen,90.0,5.127675,,6.0,0.0
131,cat blankets and throws,"cat blanket throw, dog blanket throw, cat blankets and throws, fall cat blanket","720.0, 590.0, 110.0, 20.0",1440.0,cat blanket throw,720.0,6.55775,https://www.chewy.com/best-friends-by-sheri-throw-shag-dog/dp/219940,41.0,0.0
1118,hay for hamster bedding,"hay hamster, hay for hamster bedding","320.0, 70.0",390.0,hay hamster,320.0,5.83505,,75.0,0.0
561,red rabbit food,red rabbit food,70.0,70.0,red rabbit food,70.0,7.993,,38.0,0.0
311,puppy food to adult food,puppy food to adult food,110.0,110.0,puppy food to adult food,110.0,7.9881,,253.0,0.0
865,party mix cat treats,"party mix cat treats, cat treats party mix","480.0, 480.0",960.0,party mix cat treats,480.0,7.9402,https://www.chewy.com/purina-friskies-party-mix-mixed/dp/104106?utm_source=google-product&utm_medium=organic&utm_campaign=%7Bcampaignid%7D&utm_content=Friskies&utm_term=%7Bkeyword%7D,29.0,0.074433657
85,junco bird food,junco bird food,20.0,20.0,junco bird food,20.0,7.9842,,53.0,0.0
530,lazy dog cookies,lazy dog cookies,90.0,90.0,lazy dog cookies,90.0,7.981,https://www.chewy.com/lazy-dog-cookie-co-berried-bones/dp/172153,37.0,0.090909091
663,small goldfish food,"small fish food, small goldfish food","90.0, 20.0",110.0,small fish food,90.0,7.9294,https://www.chewy.com/tetra-betta-floating-mini-pellets/dp/125813,1600.0,0.025
